Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
1.15,-29.45,-1.41,0.41,0.00,,LUPA3
1.37,-35.09,21.44,0.49,13.26,,UCAS3
8.51,1.13,5.69,1.18,6.12,,BEES3
6.40,-58.44,-0.55,0.34,0.00,,SHOW3
1.09,-40.11,-6.49,0.70,0.00,,PDTC3
1.64,-19.21,-0.89,0.32,0.00,,TCSA3
7.34,105.60,-3.42,1.57,0.00,,TRAD3
9.52,1.45,8.33,1.11,3.05,,ALUP4
4.07,-8.13,-0.23,-0.20,0.00,,FHER3
7.54,-38.45,0.18,-0.17,0.00,,OIBR4
5.02,-50.78,-8.46,0.55,0.00,,AALR3
4.40,10.52,-8.83,1.20,42.44,,EPAR3
6.89,-19.78,7.11,0.73,3.76,,RAPT3
3.10,-37.12,7.30,0.96,0.00,,NUTR3
4.04,-17.55,15.44,0.70,0.00,,REAG3
1.73,-4.95,-0.33,-0.05,0.00,,INEP3
4.03,10.41,8.78,0.20,5.73,,TPIS3
1.41,-21.67,-0.27,-0.04,0.00,,INEP4
7.69,-23.63,129.85,0.49,0.00,,TELB4
7.15,-22.45,-12.63,3.61,0.00,,BIOM3
17.95,-23.13,-35.98,0.68,9.63,,SCAR3
6.13,-70.81,-0.04,-0.05,0.00,,AGXY3
10.48,3.16,9.17,1.22,2.78,,ALUP3
9.50,-4.85,7.24,0.89,1.27,,BSLI4
11.08,-21.61,100.43,1.46,0.65,,LAND3
28.60,-4.78,8.79,0.65,4.77,,COCE5
6.00,-9.23,-10.95,-0.32,0.00,,DOTZ3
8.49,-6.71,5.67,1.17,6.10,,BEES4
8.15,-18.53,6.21,0.77,1.47,,BSLI3
1.50,-77.27,-0.08,-0.47,0.00,,JFEN3
4.62,-22.49,5.76,0.42,5.87,,PTNT4
26.51,12.50,5.14,0.56,11.91,,CGRA4
49.80,24.65,10.01,4.14,11.02,,EKTR4
12.85,-7.22,216.98,0.82,0.00,,TELB3
5.73,-58.35,-69.68,0.63,0.02,,VSTE3
2.54,-33.16,-0.01,0.00,0.00,,OSXB3
67.07,16.16,6.95,1.62,3.25,,RSUL4
5.74,-9.51,6.55,2.36,11.42,,EQPA3
39.33,19.10,8.82,2.17,3.05,,BMEB4
8.71,8.13,8.20,1.68,1.70,,BPAC5
8.70,22.67,5.44,1.11,6.81,,ENGI4
22.00,44.94,20.71,4.23,0.71,,BPAC3
4.60,-47.73,-2.60,0.23,0.00,,WEST3
26.82,12.12,5.20,0.57,11.83,,CGRA3
4.32,14.11,7.25,2.37,17.35,,WHRL3
21.21,11.75,9.26,1.80,3.37,,OFSA3
102.97,52.11,5.39,1.03,9.48,,CLSC4
28.64,-26.84,15.89,0.86,5.36,,EMAE4
0.82,-65.98,-0.71,0.22,0.00,,VIVR3
25.55,-29.88,38.08,2.70,0.00,,LOGN3
19.47,12.81,7.78,1.26,10.14,,CEBR3
15.60,-47.10,-3.85,0.77,0.00,,CRPG5
11.42,-0.18,6.09,0.44,9.48,,BRSR3
4.06,-66.17,-0.93,2.52,0.00,,MGEL4
48.76,2.33,8.48,2.08,9.41,,UNIP3
1.70,-53.93,-28.34,-3.82,0.00,,AVLL3
19.55,30.85,7.81,1.26,9.82,,CEBR5
36.85,-2.54,4.36,1.14,4.97,,CEEB3
45.00,30.50,9.04,3.74,10.51,,EKTR3
2.70,-48.86,-1.39,0.30,0.00,,CTSA4
25.41,94.27,12.44,-0.60,0.00,,MNPR3
3.75,-7.64,0.08,-0.20,0.00,,NEXP3
17.80,13.75,6.85,0.62,3.76,,EUCA3
28.79,49.28,3.64,0.66,15.55,,BGIP4
20.69,32.01,8.27,1.34,10.55,,CEBR6
35.93,70.93,12.22,2.01,19.52,,GEPA4
30.52,-5.86,6.19,0.98,7.79,,ISAE3
87.50,11.81,17.09,3.50,1.41,,BAUH4
7.40,-6.33,25.85,1.25,1.31,,ALPA3
3.24,-35.71,-3.57,0.53,0.00,,RNEW11
16.20,81.96,5.12,0.87,8.44,,BALM4
8.20,-13.21,5.73,0.90,6.46,,DEXP4
2.24,-30.22,-0.71,0.44,0.00,,RDNI3
129.00,26.87,9.73,12.04,8.47,,CGAS5
127.00,-62.95,-19.17,1.57,39.53,,MOAR3
6.32,-2.82,10.05,3.21,6.62,,REDE3
14.83,20.23,3.52,0.99,3.75,,EALT3
17.98,-46.36,-4.44,0.88,0.00,,CRPG3
3.60,-44.19,-8.17,-0.51,0.00,,MAPT4
3.00,-74.75,-1.54,0.33,0.00,,CTSA3
2.05,-46.89,0.15,-0.04,0.00,,RSID3
3.85,65.24,0.87,-0.87,0.00,,HOOT4
1.17,2.63,7.03,-0.27,0.00,,HAGA4
175.01,125.90,10.75,1.59,4.02,,TKNO4
42.70,2.48,10.21,0.81,4.55,,MTSA4
4.51,-48.98,23.48,0.35,0.00,,RPAD3
380.00,29.66,11.47,0.84,8.37,,BMKS3
18.00,-16.63,1.80,0.57,0.00,,CEDO4
38.79,95.77,10.68,1.18,18.52,,PATI3
120.58,23.70,9.10,11.25,8.23,,CGAS3
9.09,1.23,11.33,0.82,2.98,,PTNT3
20.97,-29.72,6.12,0.96,6.60,,WLMM4
7.36,-43.38,-1.06,-0.14,0.00,,CEED3
193.95,296.91,11.91,1.76,2.10,,TKNO3
16.89,16.97,64.47,1.05,0.00,,MNDL3
1.85,-27.17,11.11,-0.43,0.00,,HAGA3
32.10,78.33,1.66,10.74,0.00,,CTKA4
0.93,-66.55,523.95,290.85,0.00,,PPLA11
4.10,87.21,-1.25,-0.06,0.00,,ESTR4
31.95,-8.71,2.37,1.12,0.00,,AHEB3
55.50,14.26,9.65,2.37,9.08,,UNIP5
49.98,6.39,5.16,1.72,12.55,,SOND6
49.92,6.36,5.15,1.71,12.56,,SOND5
37.00,-22.26,19.50,0.78,2.34,,PEAB4
11.40,-5.84,12.97,1.20,3.99,,FESA3
21.00,-24.08,2.10,0.67,0.00,,CEDO3
5.50,5.36,-0.50,-0.12,0.00,,PLAS3
8.40,-16.00,-0.50,-0.06,0.00,,BDLL4
11.20,-14.50,11.35,1.27,7.29,,CPLE5
3.47,-76.34,1.98,0.46,6.83,,LUXM4
250.00,-3.85,-70.05,3.83,0.00,,FRIO3
3.30,-43.49,-1.01,-0.02,0.00,,SNSY5
24.50,-15.04,6.03,1.08,4.19,,MRSA5B
4.03,-2.39,-72.88,0.44,0.26,,DOHL4
11.70,25.27,1.02,1.21,0.00,,MWET4
28.60,25.29,6.18,1.16,9.58,,EQMA3B
12.50,32.56,4.59,0.37,3.35,,CBEE3
2.95,-53.10,-38.01,28.80,0.00,,DTCY3
5.80,-38.62,1.06,-0.31,0.00,,NORD3
4.27,-59.33,-0.01,-0.01,0.00,,GSHP3
26.50,-8.67,6.52,1.16,3.59,,MRSA3B
6.05,-,-100.64,131.69,0.00,,PSVM11
8.81,-34.74,-0.76,-1.66,0.00,,BRKM6
21.00,83.34,6.63,1.13,6.46,,BALM3
28.06,-14.83,12.47,0.40,21.02,,HBTS5
31.51,30.16,8.68,0.96,10.33,,PATI4
95.00,0.85,3.76,0.58,6.59,,BNBR3
25.00,-7.11,6.15,1.10,4.19,,MRSA6B
38.00,-10.04,20.03,0.80,2.18,,PEAB3
7.38,6.24,21.03,1.94,6.06,,AFLT3
15.00,-49.14,-3.70,0.74,0.00,,CRPG6
7.10,-3.29,8.10,2.92,9.28,,EQPA6
32.00,11.24,9.83,0.73,4.22,,COCE3
16.55,7.68,9.63,0.57,8.46,,BMIN4
15.98,6.86,8.52,0.62,8.57,,BRSR5
35.98,71.37,12.24,2.01,19.49,,GEPA3
100.50,54.73,5.26,1.00,8.30,,CLSC3
62.99,-21.75,13.72,3.43,4.40,,ENMT4
6.46,-14.00,7.37,2.66,10.20,,EQPA5
37.43,0.04,4.43,1.16,4.93,,CEEB5
32.99,14.45,7.40,1.82,3.28,,BMEB3
