Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
HUSI FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.017.492/0001-99;Geral;Desenvolvimento para renda;Hospitalar;Fundo de Tijolo;Indeterminado;Ativa;0,30;0,00;95;116.351;1.247,96;145,22;9,15;Milhões;HUSI11
Inter Residence;34.835.191/0001-23;Geral;Renda;Residencial;Fundo de desenvolvimento;Indeterminado;Ativa;0,76;5,10;6.972;1.130.695;118,64;134,15;0,64;Milhões;INRD11
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.820.768/0001-96;Geral;Desenvolvimento para renda;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;1,00;0,00;86;47.474;1.767,19;83,92;3,30;Milhões;ZIFI11
INTER TEVE INDICE DE TIJOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.293.425/0001-83;Geral;Renda;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Passiva;0,30;0,00;10.272;900.483;74,33;66,94;0,63;Milhões;ITIT11
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.564/0001-95;Geral;Híbridos;Híbrido;Fundo de papel;Indeterminado;Ativa;1,03;0,00;2.585;1.919.989;85,83;164,80;0,81;Milhões;IRIM11
ITAÚ TEMPUS FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.737.077/0001-99;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Outro;Determinado;Ativa;0,90;0,00;1.953;978.957;92,26;90,32;0,85;Milhões;TMPS11
JASC RENDA VAREJO FUNDO DE INVESTIMENTO IMOBILIÁRIO;40.886.241/0001-02;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,90;160;3.498.331;112,92;395,03;0,67;Milhões;JASC11
ITAÚ CRÉDITO IMOBILIÁRIO IPCA;51.294.441/0001-84;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;8.631;3.857.348;99,59;384,16;0,95;Milhões;ICRI11
ITAÚ TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO;52.270.671/0001-76;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo misto;Indeterminado;Ativa;;0,00;14.867;6.249.989;91,15;569,67;0,82;Milhões;ITRI11
JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.216.625/0001-98;Geral;Híbridos;Híbrido;Fundo de desenvolvimento;Determinado;Ativa;1,80;0,00;418;54.989;123,96;6,82;28,56;Milhões;JPPC11
JS Recebíveis Imobiliários;54.866.214/0001-74;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;3.680;22.137.089;9,32;206,37;0,10;Milhões;JSCR11
KLIMA FIC FUNDO IMOBILIÁRIO SUNO 30;36.669.660/0001-07;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,65;0,00;105.877;44.196.039;7,90;349,16;0,07;Milhões;KISU11
KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.273.325/0001-98;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,25;0,00;6.832;2.222.725;84,98;188,89;0,71;Milhões;KIVO11
JHSF CAPITAL CIDADE JARDIM - FUNDO DE INVESTIMENTO IMOBILIÁRIO;50.701.686/0001-16;Geral;Renda;Fundo de Fundos;Fundo de fundos;Indeterminado;Ativa;0,3;0,00;117;1.668.494;188,85;315,11;0,34;Milhões;JCCJ11
KINEA HEDGE FUND FDO DE INV IMOB;42.754.342/0001-47;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;1,2;5,30;45.659;19.663.224;98,96;1,95;1,00;Bilhão;KNHF11
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.423.780/0001-97;Investidor Qualificado;Desenvolvimento para venda;Outros;Fundo misto;Determinado;Ativa;1,0;0,00;5.936;18.547.150;0,67;12,44; 0,00;Milhões;KNRE11
Kinea Oportunidades Real Estate;52.219.978/0001-42;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;;7,93;25.168;9.624.989;105,87;1,02;1,25;Bilhão;KORE11
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB;42.754.362/0001-18;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;35.817;15.312.506;101,34;1,55;1,40;Bilhão;KNUQ11
NAVI CRÉDITO IMOBILIÁRIO;40.041.603/0001-56;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;1.196;3.949.988;9,93;39,22;0,10;Milhões;NCRI11
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;16.915.968/0001-88;Geral;Híbridos;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;2,0;0,00;32.926;5.962.384;104,00;620,08;1,06;Milhões;MFII11
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.615.915/0001-59;Geral;Títulos e valores mobiliários;Fundo de Fundos;Fundo de papel;Indeterminado;Ativa;1,00;0,00;364;1.279.059;7,71;9,86;0,04;Milhões;JBFO11
Paramis Hedge Fund;51.868.778/0001-58;Geral;Títulos e valores mobiliários;Híbrido;Outro;Indeterminado;Ativa;;0,00;7.055;14.803.231;9,27;137,16;0,09;Milhões;PMIS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;32.006.821/0001-21;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,14;0,00;23.819;20.726.962;8,47;175,53;0,09;Milhões;ARRI11
PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.813.118/0001-22;fii.QUALIFIED_INVESTOR;Híbridos;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;1,00;8,40;17;897.805;36,61;32,86;1,23;Milhões;PNPR11
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;09.072.017/0001-29;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,0;10,00;141.675;11.817.756;155,79;1,84;0,85;Bilhão;HGRE11
CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.784.898/0001-22;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,80;0,00;14.952;2.863.586;80,09;229,35;0,68;Milhões;HGFF11
CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.728.688/0001-47;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,60;3,00;508.512;33.787.564;162,51;5,49;1,10;Bilhões;HGLG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;03.251.720/0001-18;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;5,0;18,00;700;749.989;357,12;267,84;1,35;Milhões;FPAB11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO;31.161.410/0001-48;Geral;Desenvolvimento para venda;Outros;Fundo de desenvolvimento;Determinado;Ativa;2,0;0,00;1.476;1.528.604;99,83;152,60;2,32;Milhões;RBIR11
Genial Malls Fundo de Investimento Imobiliário;26.499.833/0001-32;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;0,50;4,00;128.526;13.982.082;122,23;1,71;0,86;Bilhão;PMLL11
TJK RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;39.714.024/0001-48;Investidor Qualificado;Renda;Lajes Corporativas;Outro;Indeterminado;Ativa;0,45;0,00;347;1.164.636;260,84;303,78;2,90;Milhões;TJKB11
REC FUNDO DE CRI COTAS AMORTIZÁVEIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;53.260.548/0001-37;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;307;5.453.764;8,10;44,16;0,09;Milhões;RECD11
TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.847.042/0001-84;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,00;19;1.384.749;97,45;134,94;0,97;Milhões;TSER11
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.508.872/0001-87;Geral;Híbridos;Outros;Fundo de papel;Indeterminado;Ativa;0,25;0,00;69.111;11.733.884;101,76;1,19;0,40;Bilhão;URPR11
RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO;09.006.914/0001-34;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Passiva;0,17;16,00;7.535;1.851.775;64,89;120,16;0,50;Milhões;RBRD11
RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.705.463/0001-33;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,20;0,00;13.143;6.687.024;104,84;701,05;0,75;Milhões;RBRL11
TRX Hedge Fundo de Investimento Imobiliário de Responsabilidade Limitada;43.985.938/0001-10;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;0;0,00;648;3.609.709;9,21;33,24;0,11;Milhões;TRXY11
XP CREDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;28.516.301/0001-91;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;67.374;8.701.540;87,70;763,15;0,95;Milhões;XPCI11
