Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO SCP;01.657.856/0001-05;fii.GENERAL;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;4,0;30,00;4.450;4.199.989;10,62;44,60;0,05;Milhões;SCPF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS;03.507.519/0001-59;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,20;2,30;2.113;608.939;1.012,20;616,38;5,00;Milhões;SHPH11
SJ AU LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;27.771.547/0001-47;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Passiva;0,23;0,00;343;7.932.237;1,43;11,38;11,88;Milhões;SJAU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - SHOPPING WEST PLAZA;09.326.861/0001-39;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,55;8,40;1.572;1.169.989;66,72;78,07;0,37;Milhões;WPLZ11
SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILIÁRIO;50.135.849/0001-40;Investidor Qualificado;Desenvolvimento para venda;Híbrido;Outro;Determinado;Ativa;0,35;0,00;188;975.896;86,34;84,26;0,84;Milhões;PMFO11
SP Downtown Fundo de Investimento;15.538.445/0001-05;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,25;0,00;18.833;1.797.989;58,56;105,29;0,42;Milhões;SPTW11
SPX SYN MULT;43.010.543/0001-00;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;0,80;0,00;19.629;20.189.029;9,38;189,45;0,10;Milhões;SPXS11
SOLARIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO;22.169.671/0001-13;Investidor Qualificado;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,45;0,00;51;65.522;932,84;61,13;4,77;Milhões;SOLR11
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS;43.741.171/0001-84;Geral;Híbridos;Outros;Outro;Indeterminado;Ativa;;0,00;37.515;38.334.191;8,62;330,39;0,10;Milhões;SNEL11
SUNO FUNDO DE FUNDOS IMOBILIÁRIO;40.011.225/0001-68;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,78;0,00;27.884;4.020.624;81,90;329,29;0,72;Milhões;SNFF11
Suno Log Fundo de Investimento Imobiliario;40.041.711/0001-29;fii.GENERAL;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1;8,74;11.975;2.529.955;0,36;908,99;0,84;Mil;SNLG11
SUNO MULTIESTRATÉGIA;52.227.760/0001-30;fii.GENERAL;Híbridos;Híbrido;Fundo misto;Indeterminado;Ativa;;0,00;3.903;7.418.232;9,37;69,54;0,11;Milhões;SNME11
SUNO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.710/0001-82;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Outro;Indeterminado;Ativa;0,70;0,00;37.409;4.199.989;97,31;408,71;1,00;Milhões;SNCI11
TELLUS MULTIESTRATÉGIA - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;45.188.099/0001-35;Investidor Qualificado;Híbridos;Híbrido;Fundo misto;Indeterminado;Ativa;0,90;0,00;107;2.147.351;9,71;20,84;0,10;Milhões;TELM11
TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.681.370/0001-25;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,17;0,00;29.769;4.221.956;96,98;409,44;0,74;Milhões;TEPP11
FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC;16.671.412/0001-93;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,84;2,50;49.523;7.739.081;86,55;669,81;0,60;Milhões;TRBL11
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.410.722/0001-29;Geral;Renda;Agências bancárias;Fundo de Tijolo;Indeterminado;Ativa;0.277;3,10;61.666;15.919.679;103,93;1,65;1,05;Bilhão;TVRI11
VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.870.926/0001-30;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;576;827.902;91,71;75,93;0,68;Milhões;VOTS11
