Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
94.25,15.12,1.01,83.27,K,12.59,FLCR11,FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,33884145/0001-51,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,3019,751833,93.28,70.13,1.05,Milhões
75.72,13.21,0.91,1.07,M,-4.63,VRTA11,FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11664201/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.0,0.00,111776,15592413,83.41,1.30,0.85,Bilhão
1.148.88,0.00,1.25,33.21,K,13.05,EGDB11,FII EGDB,53866393/0001-87,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,,0.00,2222,75721,920.34,69.70, 0.00,Milhões
9.50,15.26,0.98,45.33,K,15.43,EXES11,EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,41076851/0001-03,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.00,755,7105433,9.65,68.58,0.13,Milhões
229.00,10.07,0.69,23.45,K,1.70,EURO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,05437916/0001-27,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,5.0,0.00,2060,383925,329.85,126.64,2.00,Milhões
135.98,9.32,0.62,92.44,K,5.88,FLMA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,04141645/0001-03,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,2,32.05,12093,1380659,220.64,304.63,1.02,Milhões
72.02,5.07,0.62,6.43,K,60.19,FMOF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01633741/0001-72,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,5.0,0.00,216,507997,116.02,58.94,0.43,Milhões
6.91,15.41,0.75,292.04,K,-10.51,VRTM11,FATOR VERITÀ MULTIESTRATÉGIA,51870412/0001-13,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,,0.00,11689,46971234,9.27,435.30,0.09,Milhões
150.00,4.71,0.95,10.87,M,4.35,JCIN11,FOF JHSF CAPITAL INSTITUCIONAL FII,50718976/0001-72,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,,0.00,9,1317706,157.25,207.22,0.62,Milhões
645.00,6.80,0.31,12.47,K,10.21,ALMI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE ALMIRANTE,07122725/0001-00,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.383,46.34,1952,111166,2106.20,234.16,3.93,Milhões
