Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
HSLG11,Logística,81.28,10.96,10.17,0.74,1029010000,430353,5,2506.12,27747.0,11.07,0.0
HSML11,Shoppings,82.15,8.43,10.49,0.78,1709420000,2285300,13,7055.35,81126.0,11.5,3.11
HSRE11,Híbrido,101.98,6.47,10.84,1.13,907492000,788813,24,6971.01,61605.0,8.84,0.0
HTMX11,Hotel,145.0,4.28,15.15,1.0,418774000,812277,22,8756.08,45142.0,5.16,0.0
HUCG11,Hospital,105.0,-0.56,0.0,1.02,117810000,502,2,4134.88,0.0,0.0,0.0
HUSC11,Outros,92.81,11.99,11.36,0.62,78964700,4298,1,1059.89,15489.0,14.61,0.0
HUSI11,Hospital,1241.0,8.3,8.17,1.0,144405000,28,1,7057.66,63298.0,8.97,0.0
HYPI11,Híbrido,181.5,-0.44,0.46,1.45,237094000,178,1,111450.00,27941.0,0.25,0.0
IAAG11,Títulos e Val. Mob.,7.74,12.47,15.13,0.79,80915300,152863,0,000,0.0,0.0,0.0
IAGR11,Outros,3.99,0.18,2.25,0.64,11163800,15122,0,000,0.0,0.0,0.0
IBBP11,Outros,7.8,9.42,6.32,0.87,238125000,14002,24,71736,8592.0,11.98,0.21
IBCR11,Títulos e Val. Mob.,58.17,10.68,17.18,0.65,55751500,121945,0,000,0.0,0.0,0.0
IBFF11,Títulos e Val. Mob.,66.4,8.28,0.0,0.93,44267600,0,0,000,0.0,0.0,0.0
ICRI11,Títulos e Val. Mob.,94.11,10.06,14.32,0.94,363016000,654132,0,000,0.0,0.0,0.0
IDFI11,Títulos e Val. Mob.,2.0,16.41,199.23,0.46,4115850,0,2,000,0.0,0.0,0.0
IDGR11,Híbrido,1.5,-15.05,133.18,0.0,1325040,0,0,000,0.0,0.0,0.0
IFID11,Títulos e Val. Mob.,80.06,7.66,0.0,1.25,59897000,0,0,000,0.0,0.0,0.0
IFIE11,Títulos e Val. Mob.,71.98,12.86,0.0,1.04,64817600,0,0,000,0.0,0.0,0.0
INLG11,Logística,74.16,12.59,12.27,0.74,334618000,180377,5,2786.84,37513.0,13.46,0.84
INRD11,Residencial,70.35,12.8,10.28,0.59,79545200,47608,5,3026.14,54305.0,17.95,1.18
IRDM11,Títulos e Val. Mob.,62.13,15.6,15.02,0.75,2263630000,3229280,0,000,0.0,0.0,0.0
IRIM11,Híbrido,68.35,14.97,14.49,0.79,131232000,26055,1,2643.65,0.0,0.0,0.0
ISCJ11,Títulos e Val. Mob.,99.99,9.08,9.43,0.44,18763100,122,0,000,0.0,0.0,0.0
ITIP11,Títulos e Val. Mob.,65.76,5.91,12.82,0.94,49198400,58473,0,000,0.0,0.0,0.0
ITIT11,Títulos e Val. Mob.,68.57,13.47,10.64,0.9,61746900,79544,0,000,0.0,0.0,0.0
ITRI11,Híbrido,81.7,11.0,11.73,0.85,510625000,822116,0,000,0.0,0.0,0.0
JASC11,Híbrido,99.17,7.45,7.64,0.88,346038000,81,16,3380.93,31377.0,9.28,1.3
JBFO11,Títulos e Val. Mob.,82.01,9.02,0.0,1.04,104897000,0,0,000,0.0,0.0,0.0
JCCJ11,Títulos e Val. Mob.,162.0,3.4,3.2,0.85,270298000,1039830,0,000,0.0,0.0,0.0
JCIN11,Títulos e Val. Mob.,150.0,4.78,4.68,0.95,197658000,2862160,0,000,0.0,0.0,0.0
JFLL11,Residencial,69.89,14.2,9.53,0.65,104877000,30728,2,7067.74,1227.22,17.36,9.0
JGPX11,,63.32,19.3,13.14,0.66,135584000,218697,0,000,0.0,0.0,0.0
JPPA11,Híbrido,79.94,15.65,15.94,0.82,72269800,136719,0,000,0.0,0.0,0.0
JPPC11,Híbrido,124.0,-5.61,5.79,0.8,6820000,12543,0,000,0.0,0.0,0.0
JRDM11,Shoppings,85.9,7.97,0.0,0.96,216723000,0,1,7394.68,67149.0,9.08,1.19
JSAF11,Títulos e Val. Mob.,7.62,12.64,14.27,0.84,590727000,1663180,0,000,0.0,0.0,0.0
