Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
HGJH11,Lajes Corporativas,191.29,9.55,0.0,0.55,335342000,0,2,26273.60,2781.84,10.59,3.42
HGLG11,Logística,157.5,7.4,8.32,0.97,5321540000,5908710,27,3228.61,25813.0,8.0,4.6
HGPO11,Lajes Corporativas,135.58,4.45,18.99,0.98,237679000,200021,0,000,0.0,0.0,0.0
HGRE11,Lajes Corporativas,119.3,6.46,8.67,0.76,1409860000,1531280,13,7524.99,73752.0,9.8,23.67
HGRU11,Híbrido,124.73,8.53,9.52,0.99,2898480000,3598600,104,4693.26,34059.0,7.26,0.82
HILG11,Outros,198.61,9.02,8.69,0.98,104519000,0,1,3210.61,35344.0,11.01,0.0
HLOG11,Logística,8.17,5.76,7.5,0.74,347225000,70158,4,1706.97,17937.0,10.51,2.96
HMOC11,Shoppings,226.95,2.17,0.0,0.95,86698800,0,0,000,0.0,3.27,0.0
HOFC11,Lajes Corporativas,28.6,0.28,1.46,0.44,108079000,187976,3,2363.68,40485.0,17.13,49.8
HOSI11,Híbrido,85.37,8.13,9.03,0.95,48955400,5034,2,000,0.0,0.0,0.0
HPDP11,Shoppings,88.0,7.6,7.38,0.94,289344000,358703,1,2140.57,17027.0,7.95,16.81
HRDF11,Híbrido,3.0,-0.46,0.0,0.41,4552280,726,0,000,0.0,0.0,0.0
HREC11,Títulos e Val. Mob.,8.32,11.33,12.01,0.95,430027000,355194,0,000,0.0,0.0,0.0
HRES11,Híbrido,149.25,14.91,16.05,1.16,69885100,0,0,000,0.0,0.0,0.0
HSAF11,Títulos e Val. Mob.,79.18,14.02,13.53,0.89,200037000,440812,0,000,0.0,0.0,0.0
HSLG11,Logística,82.99,10.73,10.07,0.8,1050660000,465329,5,2574.34,27747.0,10.78,0.0
HSML11,Shoppings,84.06,8.24,10.43,0.77,1749170000,2226470,13,7164.19,81126.0,11.32,3.11
HSRE11,Híbrido,99.0,6.67,10.19,1.09,880974000,1447730,24,7167.10,61605.0,8.6,0.0
HTMX11,Hotel,144.4,4.3,15.06,0.99,417041000,857760,22,8717.60,45142.0,5.18,0.0
HUCG11,Hospital,109.5,-0.54,0.0,1.07,122859000,491,2,4297.30,0.0,0.0,0.0
HUSC11,Outros,93.01,11.96,11.33,0.62,79134900,4812,1,1062.17,15489.0,14.58,0.0
HUSI11,Hospital,1240.0,8.3,8.19,0.99,144289000,29,1,7053.53,63298.0,8.97,0.0
