Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"2,06","-45,93","0,15","-0,04","0,00",,RSID3
"7,00","-46,15","-1,01","-0,13","0,00",,CEED3
"27,30","41,49","3,45","0,63","15,35",,BGIP4
"30,31","-4,66","6,15","0,97","7,74",,ISAE3
"3,60","-44,19","-8,17","-0,51","0,00",,MAPT4
"17,98","-46,36","-4,44","0,88","0,00",,CRPG3
"2,80","-77,27","-1,44","0,31","0,00",,CTSA3
"15,30","24,04","3,63","1,02","3,89",,EALT3
"9,09","-3,18","11,33","0,82","2,91",,PTNT3
"55,50","13,27","9,65","2,37","9,48",,UNIP5
"4,50","-49,10","23,43","0,35","0,00",,RPAD3
"3,94","64,85","0,89","-0,89","0,00",,HOOT4
"43,48","4,33","10,40","0,82","4,50",,MTSA4
"17,80","13,40","6,85","0,62","3,71",,EUCA3
"20,97","-30,86","6,12","0,96","6,50",,WLMM4
"1,19","2,59","7,15","-0,28","0,00",,HAGA4
"37,00","-22,26","19,50","0,78","2,34",,PEAB4
"17,15","-28,51","1,72","0,54","0,00",,CEDO4
"127,00","-62,95","-19,17","1,57","39,53",,MOAR3
"120,58","23,70","9,10","11,25","7,73",,CGAS3
"49,92","6,36","5,15","1,71","12,56",,SOND5
"193,95","296,91","11,91","1,76","2,26",,TKNO3
"17,25","19,46","65,85","1,07","0,00",,MNDL3
"31,95","-8,71","2,37","1,12","0,00",,AHEB3
"1,00","-64,03","563,38","312,74","0,00",,PPLA11
"396,00","34,49","11,95","0,87","8,60",,BMKS3
"2,04","-24,44","12,25","-0,48","0,00",,HAGA3
"33,99","87,79","1,76","11,37","0,00",,CTKA4
"175,21","126,16","10,76","1,59","3,85",,TKNO4
"8,40","-16,00","-0,50","-0,06","0,00",,BDLL4
"3,56","-39,56","-1,09","-0,02","0,00",,SNSY5
"21,00","-24,08","2,10","0,67","0,00",,CEDO3
"25,00","-2,07","6,15","1,10","4,19",,MRSA5B
"38,79","95,77","10,68","1,18","19,01",,PATI3
"4,10","100,98","-1,25","-0,06","0,00",,ESTR4
"11,40","-10,15","12,97","1,20","3,99",,FESA3
"11,20","-14,50","11,35","1,27","7,29",,CPLE5
"5,50","5,36","-0,50","-0,12","0,00",,PLAS3
"49,98","6,39","5,16","1,72","12,55",,SOND6
"28,06","-14,83","12,47","0,40","21,02",,HBTS5
"11,55","28,33","1,01","1,20","0,00",,MWET4
"4,19","1,49","-75,77","0,46","0,28",,DOHL4
