Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO FUNDO DE FUNDOS,29.216.463/0001-77,Geral,Renda,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,20% a.a","0,00%",45.129,9.050.609,"R$ 73,54","R$ 665,59 Milhões","R$ 0,52",MGFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO HOTÉIS,34.197.776/0001-65,Investidor Qualificado,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,"0,85% a.a","0,00%",4.611,1.313.773,"R$ 26,44","R$ 34,74 Milhões","R$ 0,13",MGHT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO REAL ESTATE IMPACT DEVELOPMENT FUND,36.642.099/0001-72,Geral,Desenvolvimento para venda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"1,70% a.a. sobre patrimônio líquido (mínimo R$ 30.000,00 mensais)","0,00%",70,247.289,"R$ 98,42","R$ 24,34 Milhões","R$ 0,18",MGIM11
MOGNO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.041.711/0001-29,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","0,00%",1,10.036,"R$ 158,47","R$ 1,59 Milhão","R$ 0,35",MGLG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL,19.872.887/0001-36,Geral,Híbridos,Educacional,Fundo de Tijolo,Indeterminado,Ativa,"0,15% a.a. sobre o patrimônio líquido (mínimo R$20.000,00 mensais)","0,00%",89,519.989,"R$ 97,17","R$ 50,53 Milhões","R$ 0,75",MINT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL MPD DESENV. RESID.,41.080.968/0001-52,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,,"0,00%",97,530.486,"R$ 112,47","R$ 59,66 Milhões","R$ 1,07",MMPD11
MORE RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.102.474/0001-69,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,95% a.a.","0,00%",3.995,1.907.797,"R$ 97,73","R$ 186,46 Milhões","R$ 0,33",MORC11
MORE REAL ESTATE FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.727/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,6% a.a","0,00%",4.208,2.319.104,"R$ 86,87","R$ 201,45 Milhões","R$ 0,70",MORE11
MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,97.521.225/0001-25,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"0,90% a.a (mínimo de R$ 60 mil mensais)","0,00%",1.303.943,437.325.286,"R$ 9,44","R$ 4,13 Bilhões","R$ 0,10",MXRF11
,,,,,,,,,,,,,,,NAUI11
NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.252/0001-80,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)","0,00%",2.717,612.271,"R$ 86,32","R$ 52,85 Milhões","R$ 0,70",NAVT11
,,,,,,,,,,,,,,,NCHB11B
