Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
AZ QUEST FIAGRO,44.625.826/0001-11,Geral,Desenvolvimento para renda,Fiagros,Outro,Indeterminado,Ativa,"1,2%","0,00%",29.578,24.037.273,"R$ 8,65","R$ 207,92 Milhões","R$ 0,10",AAZQ11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01.201.140/0001-90,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,1% a.a","2,90%",14.880,4.709.071,"R$ 107,50","R$ 506,25 Milhões","R$ 0,80",ABCP11
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,13.873.457/0001-52,Geral,Desenvolvimento para renda,Outros,Fundo misto,Indeterminado,Ativa,"0,37% a.a. sobre patrimônio líquido","0,00%",13.060,2.355.011,"R$ 145,27","R$ 342,12 Milhões","R$  0,00",AEFI11
AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,1% a.a sobre patrimônio liquido,"0,00%",7.695,1.787.660,"R$ 96,47","R$ 172,46 Milhões","R$ 1,30",AFCR11
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",40.750,4.555.607,"R$ 94,72","R$ 431,50 Milhões","R$ 1,01",AFHI11
ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.847.063/0001-08,Geral,Títulos e valores mobiliários,Outros,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)","0,00%",2.538,691.181,"R$ 101,04","R$ 69,84 Milhões","R$ 1,00",AFOF11
,,,,,,,,,,,,,,,AGCX11
EXES ARAGUAIA,43.951.911/0001-07,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",19.018,17.903.140,"R$ 10,40","R$ 186,23 Milhões","R$ 0,12",AGRX11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,75% a.a","0,00%",16.797,4.824.976,"R$ 77,66","R$ 374,70 Milhões","R$ 0,32",AIEC11
AJ MALLS,51.472.985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,"8,93%",13.134,31.625.967,"R$ 12,16","R$ 384,54 Milhões","R$ 0,06",AJFI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE ALMIRANTE,07.122.725/0001-00,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,383% a.a sobre patrimônio liquido (minimo R$30.000,00 mensais)","52,42%",1.977,111.166,"R$ 2.107,42","R$ 234,30 Milhões","R$ 3,40",ALMI11
ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.324/0001-40,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,30%","0,00%",8.534,20.050.219,"R$ 9,44","R$ 189,22 Milhões","R$ 0,12",ALZC11
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO,34.847.063/0001-08,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,"0,00%",12.190,15.180.529,"R$ 7,46","R$ 113,20 Milhões","R$ 0,08",ALZM11
ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28.737.771/0001-85,fii.GENERAL,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a","0,00%",160.395,122.266.239,"R$ 10,46","R$ 1,28 Bilhão","R$ 0,08",ALZR11
,,,,,,,,,,,,,,,ALZT11
,,,,,,,,,,,,,,,ANCR11
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.432.327/0001-82,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,35% a.a. sobre patrimônio líquido","10,00%",8.548,4.612.216,"R$ 9,79","R$ 45,17 Milhões","R$ 0,09",APTO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07,Geral,Híbridos,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,"0,00%",612,2.829.131,"R$ 123,36","R$ 349,00 Milhões","R$ 0,34",APXM11
RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a","0,00%",35.430,4.235.031,"R$ 101,78","R$ 431,04 Milhões","R$ 1,15",ARCT11
AROEIRA 333 RENDA LOGÍSTICA,44.674.528/0001-11,Geral,Desenvolvimento para renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,,"0,00%",4.362,167.926.821,"R$ 0,95","R$ 160,06 Milhões","R$ 0,01",AROA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,32.006.821/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,14% a.a","0,00%",24.094,20.726.962,"R$ 8,51","R$ 176,43 Milhões","R$ 0,09",ARRI11
ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.527.494/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,02%","0,00%",1.683,9.011.159,"R$ 9,18","R$ 82,73 Milhões","R$ 0,10",ARXD11
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.921/0001-62,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,"9,60%",407,1.081.246,"R$ 98,40","R$ 106,39 Milhões","R$ 0,77",ASMT11
ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,451.880/3300-01,Investidor Qualificado,Híbridos,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,"2,20%","0,00%",63,3.989,"R$ 9.721,57","R$ 38,89 Milhões","R$  0,00",ASRF11
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.809.972/0001-00,Geral,Desenvolvimento para renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,50% a.a sobre valor de mercado","17,20%",298,1.751.130,"R$ 76,73","R$ 134,36 Milhões","R$ 0,12",ATSA11
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.823/0001-88,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a","16,00%",19,898.503,"R$ 72,58","R$ 65,21 Milhões","R$ 0,20",AURB11
AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,51.890.054/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,"1,10% a.a","0,00%",6.968,18.209.635,"R$ 9,77","R$ 177,93 Milhões","R$ 0,09",AZPL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I,29.267.567/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,305% a.a sobre patrimônio liquido do fundo (minimo R$16.500,00 mensais)","0,00%",35.143,4.634.180,"R$ 91,35","R$ 423,33 Milhões","R$ 0,97",BARI11
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,07.000.400/0001-46,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"3% a.m sobre receita (minimo R$36.000,00 mensais)","100,00%",6.331,129.989,"R$ 701,69","R$ 91,22 Milhões","R$ 100,41",BBFI11
BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.180.091/0001-02,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,"0,50% a.a sobre patrimônio liquido","0,00%",6.953,4.003.889,"R$ 74,97","R$ 300,15 Milhões","R$ 0,75",BBFO11
BB FUNDO DE INVEST DE CRÉDITO FIAGRO,42.592.257/0001-20,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",11.868,4.005.153,"R$ 92,97","R$ 372,34 Milhões","R$ 0,95",BBGO11
BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54.375.187/0001-37,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,80%","1,90%",31.427,99.120.983,"R$ 9,44","R$ 935,95 Milhões","R$ 0,08",BBIG11
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,14.410.722/0001-29,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,"0,28% a.a","0,00%",74.872,15.919.679,"R$ 99,02","R$ 1,58 Bilhão","R$ 0,90",BBPO11
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.681.340/0001-04,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,"0,60% a.a","5,60%",9.153,1.589.989,"R$ 105,03","R$ 167,00 Milhões","R$ 1,00",BBRC11
,,,,,,,,,,,,,,,BBVJ11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL FUNDO DE FUNDOS,11.026.627/0001-38,fii.GENERAL,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a","0,00%",351.683,201.491.013,"R$ 8,76","R$ 1,77 Bilhão","R$ 0,07",BCFF11
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA – FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.216.935/0001-17,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,50% a.a","0,00%",23.394,3.719.027,"R$ 99,22","R$ 369,01 Milhões","R$ 0,84",BCIA11
BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO,22.219.335/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a","0,00%",43.427,6.257.862,"R$ 86,59","R$ 541,85 Milhões","R$ 0,88",BCRI11
,,,,,,,,,,,,,,,BGRB11
BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.332.032/0001-20,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Determinado,Ativa,"1,25% a.a. sobre patrimônio líquido (mínimo R$60.000,00 mensais)","0,00%",113,133.403,"R$ 1.059,33","R$ 141,33 Milhões","R$ 3,57",BICE11
INTER TÍTULOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.007.109/0001-72,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,50% a.a","0,00%",636,499.989,"R$ 41,61","R$ 20,81 Milhões","R$ 0,40",BICR11
BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.081.356/0001-84,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,50% a.a. sobre patrimônio líquido (mínimo R$25.000,00 mensais)","0,00%",8.532,5.845.591,"R$ 8,40","R$ 49,11 Milhões","R$ 0,09",BIME11
BRIO REAL ESTATE IV - FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.869.892/0001-01,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo misto,Indeterminado,Ativa,"2,0% a.a.","0,00%",106,110.428,"R$ 987,16","R$ 109,02 Milhões","R$ 73,07",BIPD11
BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.748/0001-55,Geral,Híbridos,Lajes Corporativas,Fundo misto,Indeterminado,Ativa,"1,15% a.a. sobre patrimônio líquido (mínimo R$15.000,00 mensais)","0,00%",471,1.599.989,"R$ 129,14","R$ 206,62 Milhões","R$ 0,50",BLCA11
BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.060/0001-73,Investidor Qualificado,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a","0,00%",274,2.296.271,"R$ 111,74","R$ 256,58 Milhões","R$ 0,56",BLCP11
BLUEMACAW CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.294.221/0001-92,Geral,Renda,Outros,Fundo de papel,Indeterminado,Ativa,"1,15% a.a sobre patrimônio liquido do fundo (minimo R$25.000,00 mensais)","0,00%",89,399.489,"R$ 94,69","R$ 37,83 Milhões","R$ 5,34",BLMC11
BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.637/0001-71,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",13.200,4.268.796,"R$ 70,48","R$ 300,88 Milhões","R$ 0,35",BLMG11
VBI OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.894/0001-47,Geral,Híbridos,Lajes Corporativas,Fundo de Tijolo,Determinado,Ativa,"1,25% a.a","0,00%",336,994.803,"R$ 104,98","R$ 104,44 Milhões","R$ 0,58",BLMO11
BLUEMACAW RENDA + FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.368.869/0001-30,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Determinado,Ativa,"1,00% a.a sobre o patrimônio líquido (mínimo de R$ 15.000,00 mensais)","0,00%",17.311,25.541.619,"R$ 8,06","R$ 205,96 Milhões","R$ 0,05",BLMR11
BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,49.592.781/0001-40,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,0%-2% a.a.,"11,34%",66,30.796.693,"R$ 11,26","R$ 346,92 Milhões","R$ 0,07",BLOG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BLUE RECEBÍVEIS,38.051.307/0001-94,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,,"0,00%",133,89.989,"R$ 76,70","R$ 6,90 Milhões","R$ 0,53",BLUR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS,14.376.247/0001-11,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a","2,00%",1.310,998.394,"R$ 105,80","R$ 105,63 Milhões","R$ 0,70",BMLC11
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.570.431/0001-60,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,"0,4% a.a sobre patrimônio liquido (mínimo R$20.000,00 mensais)","9,30%",6.039,699.989,"R$ 78,01","R$ 54,61 Milhões","R$ 0,92",BNFS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRASIL PLURAL ABSOLUTO,17.324.357/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,4% a.a sobre patrimônio liquido","0,00%",20.744,4.492.315,"R$ 71,48","R$ 321,13 Milhões","R$ 0,70",BPFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33.046.142/0001-49,Investidor Qualificado,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)","6,50%",5.631,7.441.734,"R$ 130,22","R$ 969,09 Milhões","R$ 0,92",BPML11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRLPROP,29.800.650/0001-01,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",166,1.349.826,"R$ 125,57","R$ 169,50 Milhões","R$ 0,93",BPRP11
BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.748.515/0001-81,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,0975% a.a sobre patrimônio liquido","4,50%",119.720,15.905.122,"R$ 118,22","R$ 1,88 Bilhão","R$ 0,87",BRCO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CORPORATE OFFICE,08.924.783/0001-01,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a sobre patrimônio liquido","12,10%",125.684,26.638.191,"R$ 86,48","R$ 2,30 Bilhões","R$ 0,41",BRCR11
BRAZIL REAL ESTATE VICTORY FUND I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.195.121/0001-20,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1% a.a sobre patrimônio liquido,"0,00%",315,967.190,"R$ 0,00",R$ -,"R$ 0,58",BREV11
BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.964.843/0001-03,Geral,Híbridos,Outros,Fundo de desenvolvimento,Determinado,Ativa,"1,5% a.a","0,00%",672,124.126,"R$ 452,72","R$ 56,20 Milhões","R$ 80,56",BRIM11
BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,"2,0% a.a sobre patrimônio líquido (mínimo de R$60.000,00 mensais)","0,00%",409,215.464,"R$ 717,29","R$ 154,56 Milhões","R$ 11,77",BRIP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II,35.652.278/0001-28,Investidor Qualificado,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",430,4.897.075,"R$ 166,46","R$ 815,15 Milhões","R$ 1,15",BRLA11
BRPR CORPORATE OFFICES FDO DE INV IMOB,48.978.859/0001-04,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,"6,00%",9.411,11.610.801,"R$ 109,48","R$ 1,27 Bilhão","R$ 0,60",BROF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36.642.244/0001-15,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"1,10% ao ano sobre PL","0,00%",39.750,5.982.725,"R$ 111,56","R$ 667,44 Milhões","R$ 0,90",BTAL11
BTG Pactual Fundo de CRI,09.552.812/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,95%","0,00%",192.832,99.521.161,"R$ 10,12","R$ 1,01 Bilhão","R$ 0,10",BTCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,29.787.928/0001-40,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido","0,00%",36.227,11.057.897,"R$ 90,57","R$ 1,00 Bilhão","R$ 0,90",BTCR11
BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,45.188.176/0001-57,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,,"0,00%",340.382,205.846.929,"R$ 9,89","R$ 2,04 Bilhões","R$ 0,09",BTHF11
BTG PACTUAL HOTÉIS FII,18.308.516/0001-63,Geral,Híbridos,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,0.95%,"45,50%",1.369,9.218.501,"R$ 68,85","R$ 634,72 Milhões","R$ 0,45",BTHI11
BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,9% a.a. sobre o Valor de Mercado","1,00%",388.953,43.249.140,"R$ 104,10","R$ 4,50 Bilhões","R$ 0,78",BTLG11
BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.210/0001-00,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,70% a.a.","8,00%",1,1.135.149,"R$ 115,18","R$ 130,75 Milhões","R$ 0,87",BTML11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,41.076.607/0001-32,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,"1,22% a.a sobre patrimônio liquido (mínimo R$5.000,00 mensais)","0,00%",12.761,3.364.548,"R$ 111,56","R$ 375,34 Milhões","R$ 0,40",BTRA11
BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.098.375/0001-83,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a. sobre patrimônio líquido (mínimo R$25.000,00 mensais)","0,00%",102,775.004,"R$ 152,02","R$ 117,82 Milhões","R$ 0,95",BTSG11
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.930.464/0001-44,Geral,Desenvolvimento para renda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,,"0,00%",188,5.675.030,"R$ 117,21","R$ 665,17 Milhões","R$ 0,78",BTSI11
BTOWERS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.132.453/0001-89,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de desenvolvimento,Indeterminado,Passiva,"0,80% a.a. sobre patrimônio líquido","6,00%",135,809.258,"R$ 114,16","R$ 92,38 Milhões","R$ 0,65",BTWR11
BTG PACTUAL YOU INC. DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDAD,54.645.216/0001-33,Geral,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"1,25% a.a.","0,00%",297,29.999.989,"R$ 10,21","R$ 306,33 Milhões","R$ 0,13",BTYU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21.126.204/0001-43,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,"0,10% a.a","0,00%",127,625.529,"R$ 794,46","R$ 496,96 Milhões","R$ 10,80",BVAR11
CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","0,00%",24.382,4.836.313,"R$ 96,26","R$ 465,53 Milhões","R$ 1,41",CACR11
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,13.584.584/0001-31,Geral,Títulos e valores mobiliários,Híbrido,Fundo misto,Indeterminado,Ativa,"1,60% a.a","0,00%",11.722,35.769.908,"R$ 6,99","R$ 250,07 Milhões","R$ 0,01",CARE11
CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.144.039/0001-85,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,1.05% a.a. do Patrimônio Líquido,"41,60%",2.294,1.414.989,"R$ 67,17","R$ 95,05 Milhões","R$ 0,10",CBOP11
CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.010.844/0001-26,Geral,Híbridos,Outros,Fundo misto,Indeterminado,Ativa,"Taxa de gestão 1,20% a.a + Taxa de Administração 0,15% a.a","15,00%",8.263,67.797.042,"R$ 10,44","R$ 707,90 Milhões","R$ 0,08",CCME11
CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.268/0001-43,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","0,00%",312,1.571.889,"R$ 93,23","R$ 146,55 Milhões","R$ 0,63",CCRF11
,,,,,,,,,,,,,,,CCVA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CYRELA COMMERCIAL PROPERTIES,15.799.397/0001-09,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a","0,00%",4.146,1.815.685,"R$ 72,87","R$ 132,30 Milhões","R$ 0,47",CEOC11
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.923/0001-70,Investidor Qualificado,Híbridos,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,1% a.a,"0,00%",96,94.589,"R$ 502,04","R$ 47,49 Milhões","R$ 16,50",CFHI11
CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.325.993/0001-59,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,,"0,00%",107,126.308,"R$ 1.186,85","R$ 149,92 Milhões","R$ 18,40",CFII11
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.347.985/0001-80,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,70% a.a","31,80%",888,3.139.989,"R$ 73,07","R$ 229,45 Milhões","R$ 0,20",CJCT11
CLAVE ÍNDICES DE PREÇOS,49.005.348/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",11.569,4.346.752,"R$ 97,35","R$ 423,15 Milhões","R$ 1,15",CLIN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CENESP,13.551.286/0001-45,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,30% a.a sobre patrimônio liquido (minimo R$30.000,00 mensais)","59,40%",93.820,34.134.814,"R$ 7,57","R$ 258,30 Milhões","R$  0,00",CNES11
CORPORATE OFFICE PROPERTIES FII,48.916.699/0001-60,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,"15,00%",119,2.166.084,"R$ 112,34","R$ 243,35 Milhões","R$ 0,75",COPP11
CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.921/0001-62,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,20% a.a. sobre patrimônio líquido (mínimo R$25.000,00 mensais)","0,00%",268,1.017.305,"R$ 90,55","R$ 92,12 Milhões","R$ 0,77",CORM11
