valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
3964094000,3756878000,3154380000,327611000,5591369000,4110059000,1047917000,207216000,1255133000,100.00,novo mercado,34.93,telecomunicações,telecomunicações,intb3
14335540000,20329947000,8612454000,380253000,16780052000,2283900000,6627486000,5994407000,633079000,100.00,novo mercado,49.56,utilidade pública,água e saneamento,csmg3
122028179000,122028179000,123852072000,7498531000,1263370224000,1126051979000,,,21583905000,100.00,nível 1,9.88,financeiro,bancos,sanb11
6044181000,25975056000,3777957000,696334000,32690853000,4228476000,22912406000,19930875000,2981531000,100.00,novo mercado,47.92,bens industriais,exploração de rodovias,ecor3
13017947000,15272377000,3737484000,674854000,14217072000,7341600000,4953746000,2254430000,2699316000,100.00,nível 1,58.62,bens industriais,serviços diversos,ggps3
4231130000,3214856000,4050731000,902160000,4524891000,2761241000,83703000,1016274000,1099977000,100.00,novo mercado,29.67,consumo cíclico,calçados,grnd3
7546518000,7863689000,2935852000,236197000,4699193000,3028181000,551533000,317170000,234362000,100.00,novo mercado,53.31,consumo cíclico,acessórios,viva3
3132748000,3440804000,1227284000,123094000,6190365000,3739146000,1224917000,308056000,916861000,100.00,novo mercado,98.69,consumo cíclico,incorporações,tend3
555481000,2085440000,1461366000,133851000,6462804000,3179783000,1740375000,1529959000,210416000,100.00,novo mercado,49.01,consumo cíclico,incorporações,hbor3
409652000,438281000,448152000,195072000,3666739000,2656845000,559508000,28629000,530879000,100.00,novo mercado,95.63,consumo não cíclico,produtos diversos,ljqq3
41593277000,58575416000,25596150000,2982810000,60742037000,12093928000,19887878000,16982139000,2905739000,100.00,nível 2,100.00,utilidade pública,energia elétrica,cple3
26306427000,57858878000,18484512000,2289424000,82858461000,19805340000,41047221000,31552451000,9494770000,100.00,nível 2,71.31,utilidade pública,energia elétrica,engi11
3268384000,6433797000,4729060000,651072000,13876752000,4603207000,4374226000,3165413000,1208813000,100.00,nível 1,31.40,bens industriais,máquinas e equipamentos industriais,cbav3
4188832000,314325000,5207666000,82263000,15788614000,5780296000,,4503158000,4503158000,100.00,novo mercado,99.48,financeiro,seguradoras,irbr3
3456724000,4923761000,4563499000,293440000,7897842000,1388394000,2400752000,1467037000,933715000,100.00,nível 1,93.96,petróleo. gás e biocombustíveis,exploração. refino e distribuição,recv3
1055280000,2163280000,4376000000,200243000,16175000000,6356000000,1883000000,1108000000,775000000,0.10,nível 1,69.88,consumo cíclico,produtos diversos,amer3
5936582000,8146781000,8339548000,206489000,15516832000,6865973000,3033361000,2210199000,823162000,100.00,novo mercado,56.14,consumo cíclico,tecidos. vestuário e calçados,azza3
16019212000,23294223000,12254236000,633420000,25153665000,6287208000,9138773000,7275011000,1863762000,100.00,novo mercado,64.65,saúde,medicamentos e outros produtos,hype3
7518871000,13479305000,5265743000,443329000,20525452000,8994607000,7681012000,5960434000,1720578000,100.00,novo mercado,43.81,consumo não cíclico,agricultura,slce3
5761883000,5761883000,10833866000,408974000,156338226000,146627096000,,,3435018000,100.00,nível 1,50.61,financeiro,bancos,brsr6
704355000,1650252000,1312984000,284014000,3801619000,1199774000,1381411000,945897000,435514000,0.10,novo mercado,98.05,saúde,serviços médicos. hospitalares. análises e diagnósticos,qual3
1831348000,1819321000,755919000,179720000,1552761000,1016654000,351835000,12027000,363862000,100.00,novo mercado,98.19,bens industriais,máquinas e equipamentos industriais,kepl3
3121031000,3305068000,911158000,204256000,3049801000,2561497000,737803000,184037000,553766000,100.00,novo mercado,26.62,financeiro,intermediação imobiliária,plpl3
419666000,3272008000,1787203000,322820000,9204031000,4814005000,3664742000,2852342000,812400000,100.00,nível 1,56.46,saúde,serviços médicos. hospitalares. análises e diagnósticos,vveo3
7833239000,10050791000,4484862000,498297000,11584408000,7670246000,4064341000,2217552000,1846789000,100.00,nível 1,22.52,consumo não cíclico,agricultura,tten3
577126000,1190474000,1597858000,141800000,4162288000,2685925000,1289224000,613348000,675876000,100.00,novo mercado,51.71,tecnologia da informação,computadores e equipamentos,posi3
6773596000,6144241000,1290301000,552495000,2248918000,756071000,,629355000,629355000,100.00,novo mercado,45.96,saúde,serviços médicos. hospitalares. análises e diagnósticos,odpv3
1505599000,8048537000,7611977000,752799000,20220243000,5462136000,7950100000,6542938000,1407162000,0.00,tradicional,19.32,saúde,serviços médicos. hospitalares. análises e diagnósticos,dasa3
13868036000,23279864000,7612368000,1033496000,21504866000,3198267000,10308711000,9411828000,896883000,100.00,nível 2,63.44,utilidade pública,energia elétrica,taee11
7475642000,7689832000,20751327000,1253079000,35309875000,16354384000,6250187000,214190000,6035997000,80.00,nível 1,53.95,materiais básicos,siderurgia,usim3
2408749000,2408749000,4472589000,583232000,48301069000,40285796000,,,537838000,100.00,nível 1,27.45,financeiro,bancos,bmgb4
5486208000,6325506000,5544320000,499200000,135582330000,8506180000,1906966000,839298000,1067668000,0.00,nível 1,16.41,consumo cíclico,tecidos. vestuário e calçados,guar3
6485792000,8415719000,2183556000,270016000,6637146000,3172894000,2680089000,1929927000,750162000,80.00,nível 1,33.14,bens industriais,material rodoviário,fras3
2501377000,4143365000,2851844000,581715000,9267606000,5134852000,1748250000,1641988000,106262000,100.00,novo mercado,31.17,saúde,medicamentos e outros produtos,pgmn3
369416000,616765000,937277000,286369000,2479058000,518772000,545072000,247349000,297723000,100.00,novo mercado,98.66,consumo cíclico,restaurante e similares,meal3
1637113000,5643321000,4198648000,153719000,14452673000,6592673000,5631160000,4006208000,1624952000,100.00,novo mercado,84.74,consumo cíclico,automóveis e motocicletas,mypk3
11658456000,20911808000,8999649000,988880000,31477777000,6087093000,12477539000,9253352000,3224187000,100.00,nível 2,34.43,utilidade pública,energia elétrica,alup11
816527000,4254304000,1989207000,303541000,7445998000,2616614000,4944248000,3437777000,1506471000,100.00,nível 1,31.69,consumo não cíclico,açucar e alcool,jall3
5488681000,5927807000,2503075000,275536000,4218625000,2758060000,1006358000,439126000,567232000,100.00,novo mercado,35.08,consumo cíclico,calçados,vulc3
196551000,2083000,306081000,202630000,420928000,242259000,,198635000,198635000,100.00,nível 1,72.16,consumo cíclico,tecidos. vestuário e calçados,enju3
374442000,880820000,989206000,105774000,2253318000,1722403000,610291000,506378000,103913000,100.00,novo mercado,54.06,consumo cíclico,incorporações,mtre3
10855493000,12231189000,12030707000,1511205000,26002141000,7487443000,7255705000,1375696000,5880009000,100.00,nível 2,79.97,utilidade pública,água e saneamento,sapr4
1925000000,5645955000,3429756000,350000000,11340162000,6364479000,5628146000,3720955000,1907191000,100.00,novo mercado,27.08,consumo não cíclico,alimentos diversos,caml3
2588037000,2769733000,1690841000,84909000,4576479000,2307959000,498306000,181696000,316610000,0.00,novo mercado,62.91,consumo cíclico,incorporações,mdne3
1437595000,2148900000,1462815000,333548000,4400937000,1562929000,1390848000,711305000,679543000,100.00,nível 1,28.41,bens industriais,máquinas e equipamentos de construção e agrícolas,matd3
70545000,1495435000,2002085000,11162000,5154481000,3036365000,1627052000,1424890000,202162000,100.00,novo mercado,99.82,consumo cíclico,incorporações,gfsa3
1570000000,1772417000,1896158000,200000000,5127147000,3920508000,1125729000,202417000,923312000,100.00,novo mercado,97.15,consumo cíclico,incorporações,even3
411314624000,411314624000,214918000000,10784548000,2969351000000,2785733000000,,,34369000000,80.00,nível 1,52.98,financeiro,bancos,itub3
1349617000,1438558000,697848000,159907000,2413891000,561323000,383199000,88941000,294258000,100.00,novo mercado,47.07,financeiro,corretoras de seguros,wizc3
4797049000,5766503000,1402852000,82950000,4045501000,1366939000,1902227000,969454000,932773000,100.00,novo mercado,55.82,utilidade pública,água e saneamento,orvr3
