"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGEL4","Mangels","1.800","3,96","-1,25%"
"AZEV11","Azevedo & Travassos","1.800","0,13","-7,14%"
"CEEB3","COELBA","1.700","37,28","+0,22%"
"OFSA3","Ourofino Saúde Animal","1.700","22,29","-0,49%"
"CTSA4","Santanense","1.700","2,60","+1,56%"
"CGRA3","Grazziotin","1.400","27,75","+2,63%"
"CRPG5","Tronox Pigmentos","1.400","16,22","+0,75%"
"ALPA3","Alpargatas","1.400","7,64","+5,38%"
"UNIP3","Unipar","1.200","49,36","-0,26%"
"EMAE4","EMAE","1.200","29,35","-3,74%"
"NEXP3","Brasil Brokers","1.200","3,77","-3,58%"
"BGIP4","Banese","1.100","28,00","+0,00%"
"CGAS5","Comgás","1.000","128,55","-0,12%"
"BAUH4","Excelsior","1.000","82,47","-0,01%"
"ISAE3","ISA Energia","1.000","30,90","-0,10%"
"BALM4","Baumer","1.000","15,80","+0,00%"
"REDE3","Rede Energia","1.000","6,40","-2,29%"
"MAPT4","Cemepe","1.000","3,80","+0,00%"
"MNPR3","Minupar","900","26,09","-0,15%"
"CEBR6","CEB","900","20,86","+0,05%"
"RDNI3","RNI","900","2,30","+1,32%"
"GEPA4","Rio Paranapanema Energia","800","36,01","+0,59%"
"CEED3","CEEE D","800","7,09","+6,62%"
"RSID3","Rossi Residencial","800","1,96","+0,51%"
"PEAB4","Participações Aliança da Bahia","700","38,00","-2,56%"
"EKTR3","Elektro","600","45,00","+0,02%"
"RPAD3","Alfa Holdings","600","4,60","-8,00%"
"CTSA3","Santanense","600","2,87","+9,54%"
"DEXP4","Dexxos","500","8,59","-1,04%"
"CRPG3","Tronox Pigmentos","400","15,61","-13,18%"
"EALT3","Electro Aço Altona","400","15,18","-0,07%"
"PTNT3","Pettenati","400","8,94","-0,33%"
"HOOT4","Hotéis Othon","400","3,90","-0,26%"
"MTSA4","Metisa","300","42,99","-0,46%"
"EUCA3","Eucatex","300","19,00","+1,06%"
"HAGA4","Haga","300","1,16","+0,00%"
"MOAR3","Monteiro Aranha","200","131,00","-0,76%"
"TKNO3","Tekno","200","76,01","-2,55%"
"UNIP5","Unipar","200","56,00","+0,00%"
"FIEI3","Fica","200","13,00","-0,08%"
"CGAS3","Comgás","100","123,60","-0,32%"
"SOND5","Sondotécnica","100","44,96","+0,00%"
"MRSA5B","MRS Logística","100","25,00","+13,53%"
"WLMM4","WLM","100","23,28","+1,88%"
"MNDL3","Mundial","100","17,40","-6,45%"
"CEDO4","Cedro Têxtil","100","16,33","-0,91%"
"CPLE5","Copel","100","12,01","+0,00%"
"HAGA3","Haga","100","1,93","+0,00%"
"PPLA11","PPLA","24","1,01","+10,99%"
"BMKS3","Monark","4","379,01","-5,72%"
"CTKA4","Karsten","3.200","34,99","+2,25%"
"AHEB3","São Paulo Turismo","700","35,50","-0,84%"
"FESA3","Ferbasa","300","12,06","-1,15%"
"TKNO4","Tekno","200","77,71","-2,86%"
"PATI3","Panatlântica","200","39,98","-0,05%"
"HBTS5","Habitasul","200","28,06","-3,51%"
"BDLL4","Bardella","200","7,45","+0,00%"
"SOND6","Sondotécnica","100","45,01","+18,42%"
"CEDO3","Cedro Têxtil","100","21,00","-16,83%"
"PINE11","Banco Pine","100","8,83","-2,97%"
"PLAS3","Plascar","100","5,15","+0,98%"
"ESTR4","Estrela","1.800","3,49","-0,29%"
"EQMA3B","Equatorial Maranhão","1.700","28,60","-2,46%"
"LUXM4","Trevisa","1.500","4,10","+5,13%"
"SNSY5","Sansuy","1.400","3,52","-1,68%"
"AFLT3","Afluente T","800","7,57","+4,56%"
"MWET4","Wetzel","500","11,80","-2,48%"
"DOHL4","Döhler","500","4,29","+0,94%"
"PATI4","Panatlântica","300","31,51","-4,89%"
"FRIO3","Metalfrio","100","203,00","-0,98%"
"CBEE3","Ampla Energia","100","14,83","+23,58%"
"NORD3","Nordon","100","5,95","+0,85%"
"GSHP3","General Shopping & Outlets","100","4,30","+0,00%"
"EQPA6","Equatorial Energia Pará","1.000","7,10","-11,25%"
"BMIN4","Banco Mercantil de Investimentos","500","16,80","-1,75%"
"ENMT4","Energisa MT","300","59,00","-9,22%"
"BRKM6","Braskem","200","8,60","+1,18%"
"BALM3","Baumer","100","21,00","+0,00%"
"CRPG6","Tronox Pigmentos","100","18,99","+0,00%"
"BNBR3","Banco do Nordeste","200","92,10","+0,04%"
"DTCY3","Dtcom","1.400","3,05","-4,69%"
"BMEB3","Banco Mercantil do Brasil","200","33,39","+2,71%"
"CCTY3","RDVC CITY","200","17,90","-4,69%"
"PSVM11","PORTO VM","100","6,92","+0,00%"
"MRSA3B","MRS Logística","600","26,50","-5,32%"
"PEAB3","Participações Aliança da Bahia","300","40,30","-1,47%"
"MRSA6B","MRS Logística","200","25,00","+0,00%"
"CEEB5","COELBA","100","37,43","-8,71%"
"BRSR5","Banrisul","100","15,60","+0,00%"
"EQPA5","Equatorial Energia Pará","200","6,46","-13,29%"
"GEPA3","Rio Paranapanema Energia","100","33,34","-7,39%"
"COCE3","Coelce","100","26,00","-1,89%"
"CLSC3","Celesc","100","95,99","-1,54%"
