p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
9.40,1.58,1.52,5.27,36.80,16.78,42.60,24.63,35.36,9.30,6.40,0.77,13.06,0.92,22.15,3.57,0.49,16.13,10.75,8.19,0.51,0.49,1.57,8.66,10.71,csmg3,6.48,4.46,0.69,2.02,2.90,0.81
19.01,0.74,3.30,1.77,33.64,3.91,14.47,8.31,10.39,10.57,8.94,0.87,2.95,1.80,5.54,0.96,1.17,17.38,12.61,4.64,0.26,0.74,2.33,,,ggps3,8.45,7.15,0.60,1.31,1.63,1.33
8.42,0.70,0.85,6.29,52.91,8.27,36.44,11.31,0.00,6.16,6.15,0.08,0.13,0.11,32.61,3.29,0.12,10.09,10.85,1.01,0.10,0.95,0.24,19.14,1.49,sanb11,,,,,,
9.49,2.31,2.32,2.45,23.14,24.29,71.05,25.17,30.64,9.57,9.16,1.49,3.12,4.04,11.70,2.85,0.65,24.39,19.28,15.72,0.64,0.36,4.13,21.51,35.65,viva3,7.87,7.52,0.11,0.34,0.42,0.17
6.81,0.49,1.36,4.17,28.46,7.21,39.40,35.59,46.76,6.73,1.38,0.16,3.18,0.18,5.43,1.08,0.32,19.99,11.11,2.26,0.12,0.88,0.72,21.24,,ecor3,5.12,1.05,5.28,4.07,5.35,6.06
7.84,0.76,1.16,4.46,34.95,9.70,29.25,9.42,11.73,8.40,8.07,0.69,1.49,2.42,9.39,1.39,0.90,14.81,10.32,8.73,0.59,0.41,2.79,17.10,6.76,intb3,6.74,6.48,0.05,0.27,0.33,0.32
11.64,2.58,3.11,6.05,70.40,22.19,48.26,34.52,45.38,9.69,7.48,1.29,52.08,1.51,5.91,1.58,0.50,26.69,15.91,11.17,0.41,0.59,0.86,11.50,42.86,port3,7.37,5.69,0.92,1.68,2.21,1.03
6.43,0.62,1.20,6.02,38.89,9.73,25.14,17.94,23.62,8.32,3.48,0.28,6.57,0.36,39.81,7.46,0.44,18.74,10.48,5.49,0.23,0.71,1.23,11.55,22.10,engi11,6.32,2.65,1.60,3.51,4.62,2.07
5.56,1.65,1.12,11.66,64.87,29.72,47.38,19.68,22.80,5.94,8.40,1.01,1.81,2.92,4.46,0.90,0.61,20.17,11.68,18.20,0.90,0.10,6.97,7.54,14.88,grnd3,5.12,7.25,0.33,2.13,2.47,0.02
0.07,0.59,0.01,0.00,0.00,808.94,830.11,402.10,117.11,11.12,0.15,0.01,0.04,0.01,46.94,5.58,0.01,11.89,21.71,9.84,0.83,1.83,0.59,52.36,,oibr3,38.17,0.51,0.65,37.64,10.96,0.72
5.47,0.15,0.83,5.84,31.94,2.68,33.75,2.22,7.13,4.53,6.60,0.11,0.38,0.40,2.51,0.38,0.74,15.22,5.61,1.99,0.13,0.87,1.65,11.38,,ljqq3,1.41,2.06,0.26,0.65,2.07,1.01
